
央视,#genre#
CCTV-4K,http://gdtv.helleaw.com/gaoma/cctv4k_10m.m3u8
CCTV1,http://gdtv.helleaw.com/gaoma/cctv1.m3u8
CCTV10,http://39.135.133.136/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://gdtv.helleaw.com/gaoma/cctv10.m3u8
CCTV11,http://39.135.133.136/PLTV/88888888/224/3221226123/1.m3u8
CCTV11,http://gdtv.helleaw.com/gaoma/cctv11.m3u8
CCTV12,http://39.135.133.136/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://gdtv.helleaw.com/gaoma/cctv12.m3u8
CCTV13,http://39.135.133.136/PLTV/88888888/224/3221226077/1.m3u8
CCTV13,http://gdtv.helleaw.com/gaoma/cctv13.m3u8
CCTV14,http://39.135.133.136/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://gdtv.helleaw.com/gaoma/cctv14.m3u8
CCTV15,http://39.135.133.136/PLTV/88888888/224/3221226127/1.m3u8
CCTV15,http://gdtv.helleaw.com/gaoma/cctv15.m3u8
CCTV16,http://gdtv.helleaw.com/gaoma/cctv16.m3u8
CCTV16-4K,http://gdtv.helleaw.com/gaoma/cctv4k16_10m.m3u8
CCTV16-4K,http://gdtv.helleaw.com/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV17,http://39.135.133.136/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://gdtv.helleaw.com/gaoma/cctv17.m3u8
CCTV2,http://39.135.133.136/PLTV/88888888/224/3221226079/1.m3u8
CCTV2,http://gdtv.helleaw.com/gaoma/cctv2.m3u8
CCTV3,http://39.135.133.136/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://gdtv.helleaw.com/gaoma/cctv3.m3u8
CCTV4,http://39.135.133.136/PLTV/88888888/224/3221226092/1.m3u8
CCTV4,http://gdtv.helleaw.com/gaoma/cctv4.m3u8
CCTV5+,http://39.135.133.136/PLTV/88888888/224/3221225507/1.m3u8
CCTV5,http://gdtv.helleaw.com/gaoma/cctv5.m3u8
CCTV6,http://39.135.133.138/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://gdtv.helleaw.com/gaoma/cctv6.m3u8
CCTV7,http://39.135.133.166/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://gdtv.helleaw.com/gaoma/cctv7.m3u8
CCTV8,http://39.135.133.136/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://gdtv.helleaw.com/gaoma/cctv8.m3u8
CCTV9,http://39.135.133.150/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://gdtv.helleaw.com/gaoma/cctv9.m3u8
CGTN,http://gdtv.helleaw.com/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN测试,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL4_600p.smil/playlist.m3u8
中国天气,http://gdtv.helleaw.com/itv/2000000002000000057.m3u8?cdn=hnbblive

卫视,#genre#
三沙卫视,http://gdtv.helleaw.com/itv/5000000011000288016.m3u8?cdn=bestzb
东南卫视,http://39.135.133.167/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://gdtv.helleaw.com/itv/1000000005000265033.m3u8?cdn=ystenlive
东方卫视,http://39.135.133.136/PLTV/88888888/224/3221225673/1.m3u8
东方卫视,http://gdtv.helleaw.com/itv/5000000004000014098.m3u8?cdn=bestzb
云南卫视,http://gdtv.helleaw.com/itv/5000000011000031120.m3u8?cdn=bestzb
兵团卫视,http://gdtv.helleaw.com/itv/1000000005000266005.m3u8?cdn=ystenlive
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
内蒙古卫视,http://39.135.133.166/PLTV/88888888/224/3221226017/1.m3u8
内蒙古卫视,http://gdtv.helleaw.com/itv/1000000002000014080.m3u8?cdn=ystenlive
